id,name,model,gender,language,style,description
gemini-zephyr-chinese,Zephyr,google/gemini-2.5-pro-preview-tts,female,chinese,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-arabic,Zephyr,google/gemini-2.5-pro-preview-tts,female,arabic,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-german,Zephyr,google/gemini-2.5-pro-preview-tts,female,german,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-english,Zephyr,google/gemini-2.5-pro-preview-tts,female,english,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-spanish,Zephyr,google/gemini-2.5-pro-preview-tts,female,spanish,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-french,Zephyr,google/gemini-2.5-pro-preview-tts,female,french,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-hindi,Zephyr,google/gemini-2.5-pro-preview-tts,female,hindi,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-indonesian,Zephyr,google/gemini-2.5-pro-preview-tts,female,indonesian,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-italian,Zephyr,google/gemini-2.5-pro-preview-tts,female,italian,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-japanese,Zephyr,google/gemini-2.5-pro-preview-tts,female,japanese,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-korean,Zephyr,google/gemini-2.5-pro-preview-tts,female,korean,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-portuguese,Zephyr,google/gemini-2.5-pro-preview-tts,female,portuguese,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-russian,Zephyr,google/gemini-2.5-pro-preview-tts,female,russian,bright,Energetic; bright voice. Ideal for lively and upbeat content
gemini-zephyr-dutch,Zephyr,google/gemini-2.5-pro-preview-tts,female,dutch,bright,Energetic; bright voice. Ideal for lively and upbeat content
